"year","mean","location","age","per1000"
1978,0.0604020310503973,"Ethiopia","Neonatal",60.4020310503973
1979,0.0601411868483236,"Ethiopia","Neonatal",60.1411868483236
1980,0.0595598660829348,"Ethiopia","Neonatal",59.5598660829348
1981,0.0590220521814503,"Ethiopia","Neonatal",59.0220521814503
1982,0.0583675001890243,"Ethiopia","Neonatal",58.3675001890243
1983,0.057401447421444,"Ethiopia","Neonatal",57.401447421444
1984,0.0563926138534969,"Ethiopia","Neonatal",56.3926138534969
1985,0.0558271834043402,"Ethiopia","Neonatal",55.8271834043402
1986,0.0550989194999666,"Ethiopia","Neonatal",55.0989194999666
1987,0.054273062868135,"Ethiopia","Neonatal",54.273062868135
1988,0.0535509536750879,"Ethiopia","Neonatal",53.5509536750879
1989,0.0530528041528593,"Ethiopia","Neonatal",53.0528041528593
1990,0.052362037783878,"Ethiopia","Neonatal",52.362037783878
1991,0.0513161090404822,"Ethiopia","Neonatal",51.3161090404822
1992,0.0507440523785508,"Ethiopia","Neonatal",50.7440523785508
1993,0.0500110891163744,"Ethiopia","Neonatal",50.0110891163744
1994,0.0492326603857184,"Ethiopia","Neonatal",49.2326603857184
1995,0.048262584712073,"Ethiopia","Neonatal",48.262584712073
1996,0.0470917732478505,"Ethiopia","Neonatal",47.0917732478505
1997,0.0458257379236839,"Ethiopia","Neonatal",45.8257379236839
1998,0.0448061636013151,"Ethiopia","Neonatal",44.8061636013151
1999,0.0439187409529708,"Ethiopia","Neonatal",43.9187409529708
2000,0.0428337416284318,"Ethiopia","Neonatal",42.8337416284318
2001,0.0411059234084835,"Ethiopia","Neonatal",41.1059234084835
2002,0.0397624536335442,"Ethiopia","Neonatal",39.7624536335442
2003,0.0386077143527654,"Ethiopia","Neonatal",38.6077143527654
2004,0.0372503954376872,"Ethiopia","Neonatal",37.2503954376872
2005,0.0359339991118522,"Ethiopia","Neonatal",35.9339991118522
2006,0.0344874513538526,"Ethiopia","Neonatal",34.4874513538526
2007,0.0329016367315769,"Ethiopia","Neonatal",32.9016367315769
2008,0.0312409696164878,"Ethiopia","Neonatal",31.2409696164878
2009,0.0294950318754525,"Ethiopia","Neonatal",29.4950318754525
2010,0.0280603085302273,"Ethiopia","Neonatal",28.0603085302273
2011,0.0262374341837219,"Ethiopia","Neonatal",26.2374341837219
2012,0.0245354535683132,"Ethiopia","Neonatal",24.5354535683132
2013,0.0228738036322471,"Ethiopia","Neonatal",22.8738036322471
2014,0.0208362180296929,"Ethiopia","Neonatal",20.8362180296929
2015,0.0199884245267925,"Ethiopia","Neonatal",19.9884245267925
2016,0.0187765751391029,"Ethiopia","Neonatal",18.7765751391029
1970,0.247892237482323,"Rwanda","Under 5",247.892237482323
